"";"Row";"z.value";"posterior";"local.fdr"
"ENSG00000123975";2840;13,3069967426367;1;0
"ENSG00000121152";8144;13,3013896163439;1;0
"ENSG00000101057";7982;13,2909429560486;1;0
"ENSG00000154928";4230;-13,2893079419453;1;0
"ENSG00000132561";7401;-13,2790688042854;1;0
"ENSG00000100162";2660;13,2781502339128;1;0
"ENSG00000065328";7442;13,2739139921017;1;0
"ENSG00000105894";9927;-13,2618168631043;1;0
"ENSG00000160161";2815;13,2478369737213;1;0
"ENSG00000103888";6588;13,2118343967369;1;0
"ENSG00000174611";6805;-13,1943558837532;1;0
"ENSG00000163017";185;-13,1831311598975;1;0
"ENSG00000146410";4585;13,1806900425413;1;0
"ENSG00000151914";3870;-13,1754537881339;1;0
"ENSG00000094804";2543;13,1724459296657;1;0
"ENSG00000118495";9317;-13,1679722819256;1;0
"ENSG00000102384";2656;13,1500305615714;1;0
"ENSG00000182916";12349;-13,144566867791;1;0
"ENSG00000178999";1047;13,1184459127406;1;0
"ENSG00000101605";8038;-13,0819259069139;1;0
"ENSG00000137807";6662;13,0699611629965;1;0
"ENSG00000137558";9189;-13,0510471708094;1;0
"ENSG00000133800";7234;-12,9994331538184;1;0
"ENSG00000145386";2384;12,9932228625847;1;0
"ENSG00000004799";9023;-12,9923357061622;1;0
"ENSG00000170509";5944;-12,9702922977973;1;0
"ENSG00000168477";12900;-12,9216306174026;1;0
"ENSG00000065618";3009;-12,9138933804069;1;0
"ENSG00000115163";2649;12,8864240676821;1;0
"ENSG00000111665";2547;12,8851613725592;1;0
"ENSG00000112742";13213;12,8751971411755;1;0
"ENSG00000134339";10829;-12,8322707115233;1;0
"ENSG00000148053";8559;-12,8129390664656;1;0
"ENSG00000151623";8492;-12,7735648710603;1;0
"ENSG00000177098";10931;-12,7711834748857;1;0
"ENSG00000171462";3699;-12,760158633329;1;0
"ENSG00000113594";6936;-12,7472937161464;1;0
"ENSG00000175643";1543;12,7005586442366;1;0
"ENSG00000138160";6644;12,6911520616745;1;0
